Country,Managed_By,Fulfill_Via,Shipment_Mode,Product_Group,Sub_Classification,Brand,Unit_of_Measure_Per_Pack,Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,First_Line_Designation,Weight_Kilograms,Freight_Cost_USD,Line_Item_Insurance_USD
Côte d'Ivoire,PMO - US,Direct Drop,Air,HRDT,HIV test,Reveal,30,19,551.0,29.0,0.97,Yes,13,780.34,90.535
Vietnam,PMO - US,Direct Drop,Air,ARV,Pediatric,Generic,240,1000,6200.0,6.2,0.03,Yes,358,4521.5,90.535
Côte d'Ivoire,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,500,40000.0,80.0,0.8,Yes,171,1653.78,90.535
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,31920,127360.8,3.99,0.07,Yes,1855,16007.06,90.535
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,38000,121600.0,3.2,0.05,Yes,7590,45450.08,90.535
Nigeria,PMO - US,Direct Drop,Air,ARV,Pediatric,Generic,240,416,2225.6,5.35,0.02,Yes,504,5920.42,90.535
Tanzania,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,16667,60834.55,3.65,0.06,Yes,1478,6212.41,90.535
Zambia,PMO - US,Direct Drop,Air,HRDT,HIV test,Uni-Gold,20,2500,100000.0,40.0,2.0,Yes,853,13569.49,90.535
Rwanda,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,10000,99800.0,9.98,0.17,Yes,7416,64179.42,90.535
Haiti,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,750,60000.0,80.0,0.8,Yes,256,1760.32,90.535
Rwanda,PMO - US,Direct Drop,Air,HRDT,HIV test,First Response,30,2000,33000.0,16.5,0.55,Yes,710,3120.7,90.535
Tanzania,PMO - US,Direct Drop,Air,ARV,Pediatric,Videx,200,712,8964.08,12.59,0.06,Yes,162,912.96,90.535
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,1000,80000.0,80.0,0.8,Yes,341,2682.47,128.0
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test,Stat-Pak,20,7500,202500.0,27.0,1.35,Yes,2278,15893.71,90.535
Vietnam,PMO - US,Direct Drop,Air,ARV,Pediatric,Generic,240,1000,1920.0,1.92,0.01,Yes,941,4193.49,3.07
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Aluvia,120,500,41095.0,82.19,0.68,Yes,117,1767.38,65.75
Haiti,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,750,53992.5,71.99,0.72,Yes,171,3518.38,86.39
Haiti,PMO - US,Direct Drop,Air,HRDT,HIV test,OraQuick,100,25,8750.0,350.0,3.5,Yes,60,3097.85,14.0
Tanzania,PMO - US,Direct Drop,Air,HRDT,HIV test,Bioline,25,10000,200000.0,20.0,0.8,Yes,3335,27869.74,320.0
Tanzania,PMO - US,Direct Drop,Air,HRDT,HIV test,Bioline,25,10000,200000.0,20.0,0.8,Yes,3335,28461.1,320.0
Tanzania,PMO - US,Direct Drop,Air,HRDT,HIV test,Bioline,25,10000,200000.0,20.0,0.8,Yes,3335,28359.8,320.0
Ethiopia,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,64000,99200.0,1.55,0.03,Yes,4228,12237.61,158.72
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test,Stat-Pak,20,10000,270000.0,27.0,1.35,Yes,3263,20885.78,432.0
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Viread,30,1000,17000.0,17.0,0.57,Yes,76,2282.57,27.2
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,400,3352.0,8.38,0.14,Yes,23,2149.05,5.36
Rwanda,PMO - US,Direct Drop,Air,HRDT,HIV test - Ancillary,Generic,100,1500,15.0,0.01,0.0,Yes,99,0.75,0.02
Côte d'Ivoire,PMO - US,Direct Drop,Air,HRDT,HIV test,Genie,40,476,36176.0,76.0,1.9,Yes,509,5446.51,57.88
Côte d'Ivoire,PMO - US,Direct Drop,Air,HRDT,HIV test,Bioline,25,659,13180.0,20.0,0.8,Yes,206,2656.12,25.83
Guyana,PMO - US,Direct Drop,Air,HRDT,HIV test - Ancillary,Generic,100,213,2.13,0.01,0.0,Yes,14,360.0,0.0
Zimbabwe,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,1634,117631.66,71.99,0.72,Yes,373,4112.46,188.21
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test,Stat-Pak,20,1425,38475.0,27.0,1.35,Yes,483,5468.88,61.56
Namibia,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,142,10222.58,71.99,0.72,Yes,33,1715.17,16.36
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,30,8400,96432.0,11.48,0.38,Yes,654,4051.34,154.29
Vietnam,PMO - US,Direct Drop,Air,ARV,Pediatric,Videx,60,400,2800.0,7.0,0.12,Yes,81,2211.05,4.48
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,5498,439785.02,79.99,0.8,Yes,1251,16090.22,703.66
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,30,1344,18359.04,13.66,0.46,Yes,1537,13507.92,29.37
Tanzania,PMO - US,Direct Drop,Air,ARV,Adult,Videx EC,30,2597,61470.99,23.67,0.79,Yes,117,645.1,98.35
Haiti,PMO - US,Direct Drop,Air,HRDT,HIV test,OraQuick,100,28,9800.0,350.0,3.5,Yes,109,782.13,15.68
Haiti,PMO - US,Direct Drop,Air,HRDT,HIV test,Capillus,100,84,11676.0,139.0,1.39,Yes,54,871.57,22.88
