iter	RMSE
0	15604.74405
1	15025.39658
2	14435.0536
3	13909.75973
4	13453.16366
5	13070.8101
6	12683.65003
7	12336.42982
8	12002.27261
9	11718.75232
10	11422.82302
11	11172.14612
12	10950.56554
13	10746.73967
14	10547.8485
15	10349.25567
16	10187.77288
17	10023.44716
18	9852.086497
19	9723.072903
20	9596.757914
21	9464.471277
22	9318.570723
23	9205.480413
24	9106.457439
25	9026.796419
26	8920.122705
27	8817.310684
28	8710.901385
29	8612.98202
30	8527.474323
31	8442.785565
32	8358.021335
33	8277.824265
34	8236.164029
35	8188.974342
36	8178.183593
37	8106.368609
38	8047.104815
39	8026.947173
40	7955.082503
41	7891.003859
42	7831.68849
43	7782.253789
44	7725.659811
45	7700.936551
46	7660.358297
47	7619.287668
48	7584.443617
49	7537.283526
50	7483.730641
51	7444.133336
52	7392.929572
53	7340.357281
54	7300.139115
55	7264.037871
56	7239.603389
57	7214.214602
58	7171.472184
59	7126.158012
60	7082.330909
61	7058.339413
62	7016.090937
63	7002.625771
64	6971.56493
65	6930.219762
66	6905.773563
67	6876.545745
68	6846.722893
69	6824.441102
70	6802.461324
71	6774.140869
72	6743.30441
73	6713.987605
74	6678.725948
75	6645.806883
76	6626.93093
77	6600.771343
78	6578.791715
79	6561.571326
80	6529.847218
81	6505.472942
82	6477.664344
83	6459.622
84	6439.663269
85	6418.427167
86	6396.635276
87	6368.959166
88	6342.914329
89	6315.449247
90	6278.532401
91	6254.880919
92	6244.214769
93	6226.339879
94	6213.120496
95	6190.785967
96	6178.299617
97	6151.618004
98	6124.625514
99	6115.015428
