iter	Passed	Remaining
0	40	4052
1	66	3270
2	91	2973
3	117	2820
4	144	2738
5	167	2620
6	190	2529
7	213	2455
8	236	2395
9	266	2401
10	291	2355
11	314	2303
12	336	2252
13	358	2203
14	381	2162
15	403	2119
16	426	2080
17	450	2050
18	474	2020
19	499	1996
20	521	1963
21	543	1928
22	566	1896
23	588	1864
24	611	1834
25	634	1804
26	656	1775
27	678	1744
28	701	1716
29	723	1688
30	746	1661
31	769	1635
32	791	1607
33	820	1591
34	843	1565
35	865	1539
36	867	1476
37	890	1453
38	913	1428
39	936	1404
40	960	1381
41	982	1356
42	1004	1332
43	1028	1308
44	1051	1285
45	1075	1262
46	1098	1239
47	1122	1215
48	1145	1192
49	1168	1168
50	1191	1145
51	1214	1120
52	1237	1097
53	1260	1073
54	1283	1050
55	1308	1027
56	1331	1004
57	1354	981
58	1377	957
59	1401	934
60	1425	911
61	1448	887
62	1472	864
63	1495	841
64	1518	817
65	1542	794
66	1566	771
67	1590	748
68	1613	724
69	1636	701
70	1659	677
71	1682	654
72	1706	631
73	1729	607
74	1752	584
75	1775	560
76	1821	544
77	1844	520
78	1867	496
79	1889	472
80	1912	448
81	1936	425
82	1960	401
83	1982	377
84	2005	353
85	2028	330
86	2051	306
87	2074	282
88	2097	259
89	2121	235
90	2144	212
91	2168	188
92	2191	164
93	2213	141
94	2236	117
95	2259	94
96	2282	70
97	2307	47
98	2330	23
99	2354	0
